,Id,Retweets#,Favorites#,Mentions#,SenderId,SenderAccountYears,SenderFavorites#,SenderFollowings#,SenderFollowers#,SenderStatues#,Words#,TWords#,UWords#,SlangWords#,AvgWordLength,IsCyberbullying_encode
1,1161962510918045696,3.0,157,0,1935601099,1,0,0,3.0,0,31,8,0,1,4.0,0
2,1162604714976002048,1.0,3,11,927613872390975488,1,0,0,1.0,0,12,2,0,0,5.0,0
3,1163015921205764096,13.0,220,0,1935601099,1,0,0,13.0,0,23,14,0,0,6.0,0
5,1158389499656843264,0.0,0,1,3696241,12,1047,457,0.0,1853,5,1,0,0,7.0,0
6,1158382596990091264,3.0,31,0,15016209,11,0,39,3.0,221392,10,1,0,0,4.0,0
7,1158436336317153280,1.0,13,0,16310319,11,3651,148,1.0,68489,14,3,0,0,6.0,0
8,1158683948517613568,0.0,0,1,15883237,11,14343,898,0.0,2389,10,0,0,1,6.0,1
9,1162627622708191232,3.0,39,0,16626956,11,10,5,3.0,16833,9,0,0,1,6.0,0
12,26640149355,1.0,0,0,23186079,10,67,71,1.0,72643,21,8,1,0,4.0,0
18,468735487717691392,10.0,36,0,60668913,10,88,606,10.0,13221,14,3,0,0,6.0,0
27,825704970607611904,13.0,62,0,60334462,10,209,443,13.0,39435,16,15,0,0,5.0,0
29,921748708135489536,5.0,26,0,68723264,10,6747,291,5.0,15413,11,1,0,0,7.0,0
30,921749647949008896,10.0,55,0,68723264,10,6747,291,10.0,15413,10,1,0,0,8.0,0
40,1095966254647652352,9.0,43,0,60611223,10,14622,1155,9.0,10040,11,2,0,0,5.0,0
42,1110892768208003072,4.0,183,0,62198384,10,6988,261,4.0,10601,7,7,1,0,4.0,0
47,1129071224703868928,4.0,3,0,47070156,10,18,16,4.0,250915,7,3,1,0,6.0,0
53,1146406189883895808,3.0,34,0,31094717,10,0,2,3.0,224253,9,3,0,0,5.0,0
62,1153976367790350336,4.0,9,0,56764903,10,4424,348,4.0,40108,13,4,2,0,6.0,0
