country_code;population;life_expectancy;human_development_index
Afghanistan;39835428.0;64.83;0.511
Albania;2872934.0;78.57;0.795
Algeria;44616626.0;76.88;0.748
Andorra;77354.0;83.73;0.868
Angola;33933611.0;61.15;0.581
Anguilla;15125.0;81.88;
Antigua and Barbuda;98728.0;77.02;0.778
Argentina;45605823.0;76.67;0.845
Armenia;2968128.0;75.09;0.776
Aruba;107195.0;76.29;
Australia;25788217.0;83.44;0.944
Austria;9043072.0;81.54;0.922
Azerbaijan;10223344.0;73.0;0.756
Bahamas;396914.0;73.92;0.814
Bahrain;1748295.0;77.29;0.852
Bangladesh;166303494.0;72.59;0.632
Barbados;287708.0;79.19;0.814
Belarus;9442867.0;74.79;0.823
Belgium;11632334.0;81.63;0.931
Belize;404915.0;74.62;0.716
Benin;12451031.0;61.77;0.545
Bermuda;62092.0;82.59;
Bhutan;779900.0;71.78;0.654
Bolivia;11832936.0;71.51;0.718
Bonaire Sint Eustatius and Saba;26445.0;77.79;
Bosnia and Herzegovina;3263459.0;77.4;0.78
Botswana;2397240.0;69.59;0.735
Brazil;213993441.0;75.88;0.765
British Virgin Islands;30423.0;79.07;
Brunei;441532.0;75.86;0.838
Bulgaria;6896655.0;75.05;0.816
Burkina Faso;21497097.0;61.58;0.452
Burundi;12255429.0;61.58;0.433
Cambodia;16946446.0;69.82;0.594
Cameroon;27224262.0;59.29;0.563
Canada;38067913.0;82.43;0.929
Cape Verde;561901.0;72.98;0.665
Cayman Islands;66498.0;83.92;
Central African Republic;4919987.0;53.28;0.397
Chad;16914985.0;54.24;0.398
Chile;19212362.0;80.18;0.851
China;1444216102.0;76.91;0.761
Colombia;51265841.0;77.29;0.767
Comoros;888456.0;64.32;0.554
Congo;5657017.0;64.57;0.574
Cook Islands;17572.0;76.25;
Costa Rica;5139053.0;80.28;0.81
Cote d'Ivoire;27053629.0;57.78;0.538
Croatia;4081657.0;78.49;0.851
Cuba;11317498.0;78.8;0.783
Curacao;164796.0;78.88;
Cyprus;896005.0;80.98;0.887
Czechia;10724553.0;79.38;0.9
Democratic Republic of Congo;92377986.0;60.68;0.48
Denmark;5813302.0;80.9;0.94
Djibouti;1002197.0;67.11;0.524
Dominica;72172.0;75.0;0.742
Dominican Republic;10953714.0;74.08;0.756
Ecuador;17888474.0;77.01;0.759
Egypt;104258327.0;71.99;0.707
El Salvador;6518500.0;73.32;0.673
Equatorial Guinea;1449891.0;58.74;0.592
Eritrea;3601462.0;66.32;0.459
Estonia;1325188.0;78.74;0.892
Eswatini;1172369.0;60.19;0.611
Ethiopia;117876226.0;66.6;0.485
Faeroe Islands;49053.0;80.67;
Falkland Islands;3528.0;81.44;
Fiji;902899.0;67.44;0.743
Finland;5548361.0;81.91;0.938
France;67564251.0;82.66;0.901
French Polynesia;282534.0;77.66;
Gabon;2278829.0;66.47;0.703
Gambia;2486937.0;62.05;0.496
Georgia;3979773.0;73.77;0.812
Germany;83900471.0;81.33;0.947
Ghana;31732128.0;64.07;0.611
Gibraltar;33691.0;79.93;
Greece;10370747.0;82.24;0.888
Greenland;56868.0;71.7;
Grenada;113015.0;72.4;0.779
Guatemala;18249868.0;74.3;0.663
Guernsey;63385.0;;
Guinea;13497237.0;61.6;0.477
Guinea-Bissau;2015490.0;58.32;0.48
Guyana;790329.0;69.91;0.682
Haiti;11541683.0;64.0;0.51
Honduras;10062994.0;75.27;0.634
Hong Kong;7552800.0;84.86;0.949
Hungary;9634162.0;76.88;0.854
Iceland;343360.0;82.99;0.949
India;1393409033.0;69.66;0.645
Indonesia;276361788.0;71.72;0.718
International;;;
Iran;85028760.0;76.68;0.783
Iraq;41179351.0;70.6;0.674
Ireland;4982904.0;82.3;0.955
Isle of Man;85410.0;81.4;
Israel;9291000.0;82.97;0.919
Italy;60367471.0;83.51;0.892
Jamaica;2973462.0;74.47;0.734
Japan;126050796.0;84.63;0.919
Jersey;101073.0;;
Jordan;10269022.0;74.53;0.729
Kazakhstan;18994958.0;73.6;0.825
Kenya;54985702.0;66.7;0.601
Kiribati;121388.0;68.37;0.63
Kosovo;1782115.0;;
Kuwait;4328553.0;75.49;0.806
Kyrgyzstan;6628347.0;71.45;0.697
Laos;7379358.0;67.92;0.613
Latvia;1866934.0;75.29;0.866
Lebanon;6769151.0;78.93;0.744
Lesotho;2159067.0;54.33;0.527
Liberia;5180208.0;64.1;0.48
Libya;6958538.0;72.91;0.724
Liechtenstein;38254.0;82.49;0.919
Lithuania;2689862.0;75.93;0.882
Luxembourg;634814.0;82.25;0.916
Macao;658391.0;84.24;
Madagascar;28427333.0;67.04;0.528
Malawi;19647681.0;64.26;0.483
Malaysia;32776195.0;76.16;0.81
Maldives;543620.0;78.92;0.74
Mali;20855724.0;59.31;0.434
Malta;516100.0;82.53;0.895
Marshall Islands;59618.0;73.7;0.704
Mauritania;4775110.0;64.92;0.546
Mauritius;1273428.0;74.99;0.804
Mexico;130262220.0;75.05;0.779
Micronesia (country);116255.0;67.88;0.62
Moldova;4024025.0;71.9;0.75
Monaco;39520.0;86.75;
Mongolia;3329282.0;69.87;0.737
Montenegro;628051.0;76.88;0.829
Montserrat;4981.0;74.16;
Morocco;37344787.0;76.68;0.686
Mozambique;32163045.0;60.85;0.456
Myanmar;54806014.0;67.13;0.583
Namibia;2587344.0;63.71;0.646
Nauru;10873.0;59.96;
Nepal;29674920.0;70.78;0.602
Netherlands;17173094.0;82.28;0.944
New Caledonia;288217.0;77.55;
New Zealand;5122600.0;82.29;0.931
Nicaragua;6702379.0;74.48;0.66
Niger;25130810.0;62.42;0.394
Nigeria;211400704.0;54.69;0.539
Niue;1614.0;73.71;
North America;596581283.0;;
North Macedonia;2082661.0;75.8;0.774
Northern Cyprus;;;
Norway;5465629.0;82.4;0.957
Oceania;43219954.0;;
Oman;5223376.0;77.86;0.813
Pakistan;225199929.0;67.27;0.557
Palau;18174.0;73.7;0.826
Palestine;5222756.0;74.05;0.708
Panama;4381583.0;78.51;0.815
Papua New Guinea;9119005.0;64.5;0.555
Paraguay;7219641.0;74.25;0.728
Peru;33359415.0;76.74;0.777
Philippines;111046910.0;71.23;0.718
Pitcairn;47.0;;
Poland;37797000.0;78.73;0.88
Portugal;10167923.0;82.05;0.864
Qatar;2930524.0;80.23;0.848
Romania;19127772.0;76.05;0.828
Russia;145912022.0;72.58;0.824
Rwanda;13276517.0;69.02;0.543
Saint Helena;6095.0;80.56;
Saint Kitts and Nevis;53546.0;76.23;0.779
Saint Lucia;184401.0;76.2;0.759
Saint Vincent and the Grenadines;111269.0;72.53;0.738
Samoa;200144.0;73.32;0.715
San Marino;34010.0;84.97;
Sao Tome and Principe;223364.0;70.39;0.625
Saudi Arabia;35340680.0;75.13;0.854
Senegal;17196308.0;67.94;0.512
Serbia;6871547.0;76.0;0.806
Seychelles;98910.0;73.4;0.796
Sierra Leone;8141343.0;54.7;0.452
Singapore;5453600.0;83.62;0.938
Sint Maarten (Dutch part);43421.0;78.95;
Slovakia;5460726.0;77.54;0.86
Slovenia;2078723.0;81.32;0.917
