Country_name;TotalCases;NewCases;TotalDeaths;NewDeaths;TotalRecovered;NewRecovered;ActiveCases;SeriousCritical
USA;50535791;;815269;;39879448;;9841074;14647
India;34674744;;474735;;34105066;7678;94943;8944
Brazil;22177059;;616504;;21407699;;152856;8318
UK;10660981;;146135;;9378165;;1136681;890
Russia;9956679;30873;28718;1176;8673518;35657;995981;23
Turkey;8984407;;78602;;8543785;;36202;1128
France;8105785;;120168;;7252376;;733241;2461
Germany;6432815;28047;105621;186;5329300;51;997894;4636
Iran;6150843;2971;130603;79;5957017;6592;63223;3154
Argentina;5350867;;116719;;5209333;;24815;707
Spain;5273178;;88321;;4941596;;243261;1041
Italy;5164780;;134551;;4775676;;254553;811
Colombia;5088008;;128969;;4928885;;30154;342
Indonesia;4258752;192;143923;5;4109675;311;5154;
Mexico;3911714;318;296186;293;3266965;238;348563;4798
Poland;3785036;24991;87928;571;3237017;25459;460091;207
Ukraine;3543684;11327;90343;442;3158426;24456;294915;177
South Africa;3093452;;9006;;2870329;;133063;546
Netherlands;2846126;17471;20004;85;2216825;12571;609297;651
Philippines;2836200;379;49961;25;2774334;631;11905;899
Malaysia;2678465;;30787;;2586822;;60856;419
Czechia;2312736;14229;34242;54;1981792;473;296702;1086
Peru;2249671;;201527;;;;;977
Thailand;2160780;4193;2111;28;2082951;7863;56719;1369
Iraq;2087247;545;23959;16;2054081;663;9207;84
Belgium;1914527;16029;27463;47;1411414;8362;47565;825
Canada;1823010;;29876;;1761839;;31295;469
Romania;1791502;931;57531;72;1711942;224;22029;706
Chile;1779865;1495;38638;38;1676752;2105;64475;682
Japan;1728410;173;18371;2;1709126;118;913;27
Bangladesh;1578819;269;28017;1;1543740;249;7062;1369
Vietnam;1382272;14839;27402;216;1052341;1362;302529;7681
Israel;1349134;175;821;;1334808;161;6116;93
Pakistan;1288366;313;28812;9;1250069;648;9485;758
Serbia;1271794;1387;12113;38;1223753;2732;35928;187
Sweden;1229217;;15158;;1166352;1011;47707;48
Austria;1221095;3659;13076;65;1129438;9572;78581;598
Portugal;1185036;3742;18626;16;1101911;4357;64499;137
Hungary;1182922;6884;36429;166;968897;13649;177596;573
Switzerland;1106573;5213;11776;4;887573;3703;207224;273
Jordan;998492;;11879;;92066;;65953;1218
Greece;989814;;18982;;901782;;6905;708
Kazakhstan;978362;648;12828;14;946451;922;19083;528
Cuba;963428;;8311;;954659;;458;13
Morocco;951092;;14794;;934009;;2289;347
Georgia;882822;3454;12631;49;825442;3334;44749;
Nepal;823786;232;11552;3;806237;337;5997;114
Slovakia;764112;662;15236;57;636055;9247;112821;605
UAE;742641;74;2151;2;737749;93;2741;
Tunisia;719006;;25416;;692284;;1306;53
Bulgaria;711364;;29382;;583879;;98103;643
Lebanon;685162;;8814;;638964;;37384;186
Belarus;671432;18;5245;18;661296;2072;4891;
Croatia;648003;3797;11516;71;609663;4585;26824;326
Guatemala;621328;;1602;;604245;;1063;5
Ireland;610855;;5788;;475058;2968;130009;115
Azerbaijan;602137;1109;8055;17;573034;1946;21048;
Sri Lanka;571239;567;14573;18;5442;377;12466;
Costa Rica;567906;;7328;;558201;;2377;68
Saudi Arabia;550136;48;8851;1;539338;61;1947;29
Bolivia;547892;;19276;;500575;;28041;220
Denmark;542794;6599;2996;13;46791;4065;71888;65
Ecuador;530126;;33494;;44388;;52752;759
Myanmar;526024;274;1917;8;502325;805;4529;
S. Korea;503606;7022;413;53;426441;2221;73035;852
Lithuania;487953;1576;6933;8;452749;1629;28271;121
Panama;48009;;7382;;46969;;3018;20
Paraguay;46358;;16492;;446432;;656;56
Slovenia;437689;1323;5384;19;408339;2348;23966;242
Venezuela;436602;;5223;;424183;;7196;681
Palestine;433217;;4562;;424997;;3658;52
Kuwait;413608;;2466;;41081;;332;3
Dominican Republic;40949;;4214;;403534;;1742;129
Uruguay;401897;;614;;393446;;2311;15
Mongolia;384912;286;2028;2;313256;;69628;192
Honduras;378547;124;10419;3;12257;98;245558;53
Libya;37745;577;554;11;362177;1269;9733;
Ethiopia;372711;;6819;;350072;;1582;177
Moldova;368497;;9315;;353011;;6171;234
Egypt;366634;;20919;;304747;;40968;90
Armenia;342115;347;7767;20;324224;1208;10124;
Norway;305368;;1135;;88952;;215281;103
Oman;304679;;4113;;300066;;500;1
Bosnia and Herzegovina;28098;511;12918;36;192218;;75844;
Bahrain;277964;;1394;;276237;;333;1
Singapore;271979;;779;;264225;;6975;40
Latvia;260658;650;436;11;246049;1075;10249;113
Kenya;255796;;5339;;24848;;1977;2
Qatar;24503;163;612;1;242081;143;2337;13
Estonia;227446;592;1845;7;2118;749;13801;25
Australia;225643;1731;2082;;207023;;16538;87
North Macedonia;218362;;7695;;20496;;5707;
Nigeria;215918;;2981;;207619;;5318;11
Algeria;212224;;6126;;145846;;60252;19
Zambia;210724;162;3668;;206546;26;510;23
Albania;202863;;3128;;194026;;5709;23
Finland;201051;1794;1421;15;46;;15363;54
Botswana;19609;;2421;;192452;;1217;1
Uzbekistan;195246;148;143;2;191976;195;184;23
Kyrgyzstan;183863;53;2766;2;178905;54;2192;131
Montenegro;159214;;234;;154658;;2216;60
Afghanistan;157601;14;7322;;141501;3;8778;1124
Zimbabwe;155817;;4723;;129136;;21958;12
Mozambique;152586;;1941;;149622;;1023;8
Cyprus;139368;;607;;12437;;14391;44
Ghana;131246;;1228;;129326;;692;5
Namibia;130676;;3575;;125767;;1334;3
Uganda;127877;81;3265;2;97739;23;26873;100
Cambodia;120327;15;2978;4;11668;12;669;
El Salvador;119803;;3792;1;102982;;13029;246
Cameroon;107549;;1823;;102716;;301;152
Rwanda;100517;;1344;;45522;;53651;1
Luxembourg;9306;;889;;86508;;5663;21
Maldives;92754;;256;1;90625;;1873;23
Jamaica;91601;;2416;;6331;;25875;6
Laos;86148;1645;231;7;7339;;78578;
Trinidad and Tobago;78339;;2336;;62397;;13606;22
Senegal;74065;11;1886;;72133;4;46;2
Angola;65346;;1736;;63377;;233;3
Réunion;63863;;391;;59685;;3787;34
Malawi;62088;;2307;;58846;;935;67
Ivory Coast;61863;;706;;60929;;228;
DRC;59208;;1115;;5093;;7163;
Guadeloupe;55284;;748;;225;;52286;23
Fiji;52577;5;697;;51157;5;723;
Suriname;51149;25;1176;1;29584;1;20389;13
Eswatini;50337;;1248;;45337;;3752;11
Syria;49008;;2798;;3018;;1603;
French Guiana;46365;;331;;11254;;3478;9
French Polynesia;46334;;636;;;;;7
Martinique;45501;;718;;104;;44679;1
Madagascar;448;;972;;43119;;709;22
Sudan;44406;;3206;;36009;;5191;
Malta;40357;88;470;1;38111;59;1776;3
Mauritania;39704;;846;;38206;;652;16
Cabo Verde;38482;;351;;38;;131;23
Guyana;38402;;1014;;36505;;883;14
Gabon;37551;;281;;33761;;3509;7
Papua New Guinea;35835;;573;;34917;;345;7
Belize;30991;;586;;29536;;869;10
Guinea;30798;;388;;29753;;657;49
Barbados;26565;;246;;24064;;2255;
Togo;26357;;243;;25937;;177;
Tanzania;26309;;734;;;;;7
Haiti;25744;;758;;22028;;2958;
Benin;24897;;161;;24546;;190;5
Seychelles;23806;;129;;23294;;383;
Somalia;23051;;1331;;12325;;9395;
Bahamas;22859;;705;;21649;;505;4
Mauritius;22461;68;455;;20781;90;1225;
Lesotho;21838;;663;;13741;;7434;
Mayotte;21043;;185;;2964;;17894;
Burundi;2061;87;38;;773;;19799;
Channel Islands;20159;;107;;1791;;2142;
Timor-Leste;19829;;122;;19702;;5;
Andorra;19272;;133;;16879;;226;4
Iceland;19159;107;35;;17751;137;1373;5
Congo;19066;;359;;12421;;6286;
Mali;18329;;622;;15415;;2292;
Curaçao;1754;;180;;17238;;122;3
Nicaragua;17328;;210;;4225;;12893;
Tajikistan;17095;;124;;16966;;5;
Taiwan;16721;16;848;;15672;4;201;
Aruba;16531;;176;;16153;;202;11
Burkina Faso;16334;;290;;15604;;440;
Brunei;15283;;98;;15088;;97;1
Equatorial Guinea;13599;;175;;13346;;78;1
Djibouti;13514;;188;;13296;;30;
Saint Lucia;13067;;283;;12682;;102;6
South Sudan;12842;;133;;12516;;193;2
New Zealand;12621;;44;;6019;;6558;40
Hong Kong;12483;4;213;;12159;3;111;
New Caledonia;12358;15;280;;11882;41;196;8
Isle of Man;12346;;67;;11344;;935;1
CAR;11742;;101;;6859;;4782;2
Yemen;10056;9;1962;5;6938;2;1156;23
Gambia;9998;;342;;9641;;15;1
Cayman Islands;7839;;9;;4339;;3491;14
Eritrea;7583;;62;;7349;;172;
Gibraltar;7485;20;100;;7102;23;283;
Niger;7131;;265;;6776;;90;2
Guinea-Bissau;6445;;149;;6279;;17;
Sierra Leone;642;;121;;;;;
San Marino;6217;;94;;5772;;351;3
Dominica;6208;;42;;5768;;398;
Grenada;5913;3;200;;5651;4;62;2
Liberia;5832;;287;;5523;;22;2
Bermuda;576;;106;;5623;;31;
Chad;5701;;181;;4874;;646;
St. Vincent Grenadines;5645;;76;;5096;;473;7
Liechtenstein;5222;36;67;2;4772;67;383;11
Sint Maarten;4624;;75;;4515;;34;10
Comoros;456;4;151;;4366;34;43;
Faeroe Islands;4212;;13;;368;;519;7
Antigua and Barbuda;4151;;117;;4022;;12;1
Monaco;4006;;36;;3786;;184;1
Saint Martin;3973;;56;;1399;;2518;7
Sao Tome and Principe;3733;;57;;3675;;1;
Turks and Caicos;3119;;25;;3066;;28;
Caribbean Netherlands;3109;;22;;2912;;175;
British Virgin Islands;2816;;38;;;;;7
Saint Kitts and Nevis;2792;;28;;2753;;11;1
Bhutan;2649;1;3;;2626;;20;
Greenland;1774;;;;152;;254;2
St. Barth;1603;;6;;;;;
Anguilla;1469;;4;;1383;;82;
Wallis and Futuna;454;;7;;438;;9;
Saint Pierre Miquelon;91;;;;60;;31;
Montserrat;44;;1;;42;;1;
Western Sahara;10;;1;;8;;1;
China;99517;63;4636;;93659;31;1222;29
