Country_name;Total_Vaccinations;People_Vaccinated;People_fully_vaccinated
Afghanistan;4396007;3896787;3564819
Albania;2035191;1078520;956671
Algeria;12293060;6875003;5391232
American Samoa;70933;37708;31477
Andorra;106428;56095;50333
Angola;10018061;6737721;3280340
Anguilla;19914;10038;9213
Antigua and Barbuda;118651;61662;56989
Argentina;68874746;36890296;29992687
Armenia;1236264;799403;436861
Aruba;161689;83660;78029
Australia;39633360;20099492;18990458
Austria;14516651;6409539;5564256
Azerbaijan;9528612;5104999;4423613
Bahamas;280176;151709;138266
Bahrain;3013291;1191497;1163885
Bangladesh;105277826;65618894;39658932
Barbados;290658;153670;136988
Belarus;6677937;3812391;2865546
Belgium;19254472;8847306;8293216
Belize;412002;228517;195230
Benin;1144390;1087430;877113
Bermuda;90750;45799;44951
Bhutan;1154093;589482;564611
Bolivia (Plurinational State of);8758406;5149611;4219878
Bonaire;32084;16995;15089
Bonaire, Sint Eustatius and Saba;7391;5726;2965
Bosnia and Herzegovina;1553874;833233;720631
Botswana;1061210;1061210;960331
Brazil;312827402;159191203;139521777
British Virgin Islands;34992;18288;16704
Brunei Darussalam;757477;401948;341644
Bulgaria;3404130;1904143;1373171
Burkina Faso;512972;459795;334172
Burundi;3396;2259;1472
Cabo Verde;550192;299770;250238
Cambodia;28908865;14165298;13437233
Cameroon;970440;792208;611800
Canada;61432344;30414980;28958386
Cayman Islands;125717;58143;56187
Central African Republic;436772;375096;334906
Chad;275026;198522;76504
Chile;41313356;16888965;16189202
China;2543206400;1240402779;1089865418
Colombia;57886953;36210872;24884650
Comoros;523256;281946;241310
Congo;683571;550142;512017
Cook Islands;25339;12841;12498
Costa Rica;7137983;3887480;3215091
Côte d’Ivoire;4528780;3120320;1408460
Croatia;4253122;2206838;1803116
Cuba;28541948;10181265;9255012
Curaçao;198229;102964;95265
Cyprus;1355225;626943;581703
Czechia;13852879;6694231;6021160
Democratic Republic of the Congo;219768;162994;68345
Denmark;10355493;4880609;4702724
Djibouti;117874;98370;59848
Dominica;55760;28908;26852
Dominican Republic;13840602;6881125;5610578
Ecuador;25309620;13796237;11501793
Egypt;43976245;27979218;16827971
El Salvador;9162122;4418275;4052305
Equatorial Guinea;446624;247933;198691
Estonia;1724778;827305;703856
Eswatini;344255;302675;282886
Ethiopia;10287037;6506893;3780144
Falkland Islands (Malvinas);4407;2632;1775
Faroe Islands;78347;40205;38142
Fiji;1245234;655857;589377
Finland;8727244;4304590;4055461
France;108887107;52095319;46428730
French Guiana;171617;88733;77801
French Polynesia;321000;165041;155959
Gabon;328721;186639;142082
Gambia;271166;239974;226037
Georgia;2043861;1121247;922614
Germany;127820557;59876345;53897378
Ghana;3162666;4332334;1565507
Gibraltar;101255;41010;39870
Greece;15004448;7148855;6148203
Greenland;77821;40274;37547
Grenada;75154;40561;34593
Guadeloupe;272920;136191;126889
Guam;276082;137181;124588
Guatemala;10129197;6023553;4105644
Guernsey;104131;;
Guinea;2611403;1684683;926720
Guinea-Bissau;388626;368424;20202
Guyana;682779;402142;280637
Haiti;178044;114993;63392
Honduras;9030824;4927085;3891577
Hungary;14474297;6105079;5617870
Iceland;666115;284787;226263
India;1294608045;804768300;489839745
Indonesia;243523258;143489448;100033810
Iran (Islamic Republic of);107074736;57992145;47968346
Iraq;12912613;7880958;5028072
Ireland;8420953;3868206;3567093
Isle of Man;133260;68400;64860
Israel;11998349;6248624;5749725
Italy;98011441;47044460;42296923
Jamaica;1123483;676710;516958
Japan;197423151;99861506;97558098
Jersey;187228;79851;75335
Jordan;8122926;4199282;3795860
Kazakhstan;17373619;8888893;8484726
Kenya;7893165;4776131;3117034
Kiribati;82167;59492;22675
Kosovo;1614212;853209;761003
Kuwait;6636245;3314143;3179881
Kyrgyzstan;2005212;1105584;899628
Lao People's Democratic Republic;5830021;3744740;3099003
Latvia;2237353;1231547;907613
Lebanon;4188998;2179365;1833112
Lesotho;635881;626669;618414
Liberia;597913;506647;476276
Libya;2503441;1769821;733620
Liechtenstein;52215;25799;25244
Lithuania;3758144;1878376;1532352
Luxembourg;912150;438446;382337
Madagascar;742069;589003;541160
Malawi;1482315;1152998;620710
Malaysia;53960016;25872462;25242933
Maldives;760818;396004;364814
Mali;963968;822145;348728
Malta;953044;425906;389349
Marshall Islands;46001;25336;22246
Martinique;276802;136122;127703
Mauritania;1795467;1097581;697886
Mauritius;1875132;916524;914936
Mexico;133256228;77366309;65166868
Micronesia (Federated States of);80217;48006;42937
Monaco;49980;26672;23308
Mongolia;5140585;2261281;2152911
Montenegro;489237;261477;227760
Montserrat;2949;1531;1417
Morocco;49191138;24547579;22844707
Mozambique;10799768;6685501;4114267
Myanmar;28707770;16849172;11858598
Namibia;596748;372139;314899
Nauru;14790;7612;7178
Nepal;19157444;10431659;8725785
Netherlands;25205080;13274774;11233761
New Caledonia;351877;181073;170804
New Zealand;7170281;3786316;3383965
Nicaragua;6376188;4053890;2322298
Niger;971636;507223;464413
Nigeria;10917191;7131832;3785359
Niue;2352;1202;1150
North Macedonia;1620237;828490;791747
Northern Mariana Islands (Commonwealth of the);85020;40597;37276
Norway;8845119;4247473;3855424
occupied Palestinian territory;3121061;1986530;1386990
Oman;5271912;2962504;2309408
Pakistan;127003980;82224088;52953266
Palau;34907;18389;15748
Panama;6049892;3097412;2756482
Papua New Guinea;355948;269366;197800
Paraguay;6216388;3395632;2703605
Peru;42773334;22779226;18866494
Philippines;90259621;56110301;37353438
Pitcairn Islands;74;37;37
Poland;39196353;21088203;18108150
Portugal;18107247;9132698;7294017
Puerto Rico;5440728;2774030;2372255
Qatar;5043480;;
Republic of Korea;82516351;42676990;41339847
Republic of Moldova;1637721;989897;647824
Romania;14311013;7830179;5696652
Russian Federation;130634456;68029825;58694839
Rwanda;9500993;6190614;3639978
Saba;3131;;1557
Saint Helena;7892;4361;3531
Saint Kitts and Nevis;52924;27927;24997
Saint Lucia;103092;54548;46797
Saint Vincent and the Grenadines;55617;31580;23193
Samoa;248729;139865;108864
San Marino;48672;24922;23750
Sao Tome and Principe;132705;85356;47349
Saudi Arabia;47927386;24744729;22730293
Senegal;1928411;1334702;936623
Serbia;6353068;3257012;3096056
Seychelles;179462;81937;77951
Sierra Leone;923880;747044;385232
Singapore;9489264;4744632;4744632
Sint Eustatius;2963;1509;1454
Sint Maarten;51856;26935;24921
Slovakia;5544665;2678746;2378303
Slovenia;2569296;1225991;1021717
Solomon Islands;228912;176593;52319
Somalia;1147627;892093;664422
South Africa;26348830;17840592;14948436
South Sudan;257941;219733;172441
Spain;75707249;38302534;33175769
Sri Lanka;29720188;15948495;13771693
Sudan;3276654;2782463;1234386
Suriname;489648;258304;220663
Sweden;15838516;7333414;7061847
Switzerland;11208899;5839533;5369366
Syrian Arab Republic;1422377;890837;739210
Tajikistan;5711036;3118206;2592830
Thailand;91549177;49129722;42419455
The United Kingdom;118256323;51118266;46438778
Timor-Leste;1142003;652294;489709
Togo;1930935;1281856;649079
Tokelau;1936;968;968
Tonga;119535;73296;46239
Trinidad and Tobago;1292690;690768;645833
Tunisia;11736386;7289379;5176785
Turkey;120910438;56371961;51375142
Turkmenistan;7580976;4374694;3206282
Turks and Caicos Islands;56343;29210;27133
Tuvalu;12114;6230;5884
Uganda;7813170;6525371;1287799
Ukraine;25537214;13791313;11745901
United Arab Emirates;22080184;;
United Republic of Tanzania;1699523;1592897;1078102
United States of America;453084481;233590300;193145534
